sample	microbial objects
1	"{""Propionibacterium_acnes-14"", ""Veillonella-9"", ""Klebsiella-10"", ""Streptococcus-12""}"
2	"{""Propionibacterium_acnes-14"", ""Nitrosospira-10""}"
3	"{""Propionibacterium_acnes-14"", ""Bacillus-12"", ""Alkanindiges-11"", ""Nitrosospira-11"", ""Empedobacter-13"", ""Bradyrhizobium-13""}"
4	"{""Propionibacterium_acnes-14"", ""Nitrosospira-13""}"
5	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-11"", ""Corynebacterium-11"", ""Sediminibacterium-12"", ""Reyranella-10""}"
6	"{""Propionibacterium_acnes-13"", ""Acinetobacter_junii-12"", ""Acidovorax-12"", ""Corynebacterium-13"", ""Streptococcus-14"", ""Acinetobacter_tjernbergiae-12"", ""Bradyrhizobium-10""}"
7	"{""Propionibacterium_acnes-14"", ""Anaerococcus-12"", ""Kocuria-13"", ""Sediminibacterium-11"", ""Meiothermus-11"", ""Granulibacter-12""}"
8	"{""Propionibacterium_acnes-13"", ""Kocuria-14"", ""Sediminibacterium-13"", ""Bradyrhizobium-13""}"
9	"{""Delftia-14""}"
10	"{""Propionibacterium_acnes-11"", ""Kocuria-12"", ""Bradyrhizobium-14""}"
11	"{""Nitrosospira-14"", ""Caulobacter-14""}"
12	"{""Propionibacterium_acnes-12"", ""Nitrosospira-14"", ""Sediminibacterium-14"", ""Bradyrhizobium-13""}"
13	"{""Propionibacterium_acnes-14"", ""Cylindrospermum-12"", ""Bradyrhizobium-10""}"
14	"{""Comamonas_jiangduensis-14"", ""Sediminibacterium-13""}"
15	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-13"", ""Nitrosospira-13"", ""Sediminibacterium-12"", ""Acinetobacter_tjernbergiae-10"", ""Moraxella-10""}"
16	"{""Propionibacterium_acnes-13"", ""Nitrosospira-14"", ""Schlegelella-12"", ""Gemella-11""}"
17	"{""Stenotrophomonas-13"", ""Nitrosospira-14""}"
18	"{""Propionibacterium_acnes-13"", ""Bosea-14"", ""Nitrosospira-13""}"
19	"{""Propionibacterium_acnes-14"", ""Nitrosospira-11"", ""Cylindrospermum-10"", ""Achromobacter-10""}"
20	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-10"", ""Corynebacterium-9"", ""Lysinibacillus-10"", ""Acinetobacter_tjernbergiae-10"", ""Vampirovibrio-10"", ""Clostridium-10""}"
21	"{""Propionibacterium_acnes-13"", ""Lactobacillus-11"", ""Acinetobacter_junii-13"", ""Acidovorax-13"", ""Zoogloea-10"", ""Cloacibacterium-11"", ""Bosea-10"", ""Enterococcus-11"", ""Hyphomicrobium-9"", ""Acinetobacter_tjernbergiae-13"", ""Moraxella-9"", ""Singulisphaera-13""}"
22	"{""Propionibacterium_acnes-14"", ""Nitrosospira-12"", ""Moraxella-9""}"
23	"{""Propionibacterium_acnes-12"", ""Chryseobacterium-12"", ""Nitrosospira-13"", ""Kocuria-13"", ""Meiothermus-13"", ""Bradyrhizobium-14""}"
24	"{""Propionibacterium_acnes-14"", ""Acidovorax-10"", ""Comamonas_testosteroni-10"", ""Pseudomonas-10"", ""Bacillus-10"", ""Novosphingobium-12"", ""Blastomonas-10"", ""Nitrosospira-11"", ""Microbacterium-10"", ""Delftia-9"", ""Arthrobacter-10"", ""Rhodococcus-9""}"
25	"{""Vulcaniibacterium-11"", ""Nitrosospira-11"", ""Ralstonia-11"", ""Ferrovibrio-14"", ""Meiothermus-12""}"
26	"{""Propionibacterium_acnes-14"", ""Anaerococcus-8"", ""Acinetobacter_junii-9"", ""Corynebacterium-10"", ""Nitrosospira-12"", ""Microbacterium-10"", ""Dolosigranulum-11"", ""Acinetobacter_tjernbergiae-9"", ""Moraxella-13"", ""Bradyrhizobium-10"", ""Mycobacterium-9""}"
