sample,Top classes,component 1,component 2,component 3,component 4,component 5
1,2:1:5,0.296703297,0.48489011,0.004120879,0.004120879,0.210164835
2,1:2:5,0.606684982,0.355769231,0.012820513,0.004120879,0.020604396
3,1:5:2,0.581730769,0.163003663,0.008012821,0.006868132,0.240384615
4,1:2:5,0.580586081,0.357600733,0.000915751,0.000915751,0.059981685
5,2:1:5,0.341575092,0.516483516,0.004349817,0.004578755,0.133012821
6,5:2:1,0.176609105,0.269361591,0.06541078,0.000915751,0.487702773
7,2:1:5,0.362637363,0.406227106,0.014285714,0.028754579,0.188095238
8,1:5:2,0.63507326,0.070283883,0.006868132,0.003434066,0.284340659
9,5:2:1,0.120879121,0.128205128,0.063186813,0.054029304,0.633699634
10,1:5:4,0.413003663,0.093711844,0.117826618,0.144993895,0.23046398
11,5:1:2,0.371794872,0.173534799,0.007783883,0.007783883,0.439102564
12,1:5:2,0.569368132,0.053342491,0.008928571,0.00297619,0.365384615
13,2:1:5,0.238553114,0.698260073,0.00503663,0.006410256,0.051739927
14,4:1:5,0.338369963,0.062728938,0.001831502,0.449175824,0.147893773
15,1:4:2,0.404761905,0.169108669,0.058455433,0.307234432,0.06043956
16,1:5:2,0.569139194,0.068681319,0.03525641,0.001373626,0.325549451
17,1:2:5,0.672161172,0.182692308,0.00503663,0.02518315,0.11492674
18,1:5:2,0.558608059,0.084249084,0.034798535,0.001831502,0.320512821
19,2:1:3,0.434065934,0.456654457,0.075091575,0.005494505,0.028693529
20,2:1:4,0.19047619,0.707188645,0.001373626,0.053342491,0.047619048
21,3:4:5,0.047466422,0.015262515,0.702838828,0.127747253,0.106684982
22,1:2:4,0.47985348,0.227411477,0.035103785,0.149267399,0.108363858
23,1:5:2,0.555555556,0.062423687,0.012362637,0.001831502,0.367826618
24,3:1:2,0.35279304,0.140567766,0.364239927,0.099358974,0.043040293
25,1:2:5,0.656593407,0.157051282,0.026098901,0.00503663,0.15521978
26,2:1:5,0.227106227,0.71559393,0.001046572,0.02603349,0.03021978
27,3:2:1,0.21535409,0.216880342,0.334554335,0.103632479,0.129578755
28,5:1:2,0.271716379,0.245552067,0.029958137,0.052459445,0.400313972
29,1:5:2,0.574786325,0.190781441,0.025335775,0.002136752,0.206959707
30,1:2:4,0.53003663,0.248901099,0.029304029,0.141391941,0.0503663
31,5:1:4,0.164377289,0.06990232,0.129578755,0.138736264,0.497405372
32,2:1:3,0.282254782,0.602258852,0.053317053,0.015466015,0.046703297
33,2:5:3,0.146418396,0.473239723,0.157712658,0.045380545,0.177248677
34,2:1:4,0.184294872,0.684752747,0.019001832,0.059981685,0.051968864
35,3:1:2,0.153571429,0.117307692,0.602014652,0.024450549,0.102655678
36,2:3:1,0.196428571,0.396825397,0.258852259,0.134920635,0.012973138
37,5:2:1,0.132783883,0.173076923,0.013736264,0.068942962,0.611459969
38,2:1:4,0.339056777,0.368360806,0.096840659,0.14514652,0.050595238
39,3:5:4,0.031593407,0.021245421,0.822619048,0.032234432,0.092307692
40,4:3:1,0.010989011,0.009004884,0.047619048,0.923076923,0.009310134
41,2:1:4,0.15521978,0.688415751,0.026900183,0.093406593,0.036057692
42,1:3:2,0.284144427,0.258110937,0.282836211,0.027341706,0.147566719
43,4:2:1,0.127747253,0.301282051,0.008394383,0.4745116,0.088064713
44,2:1:4,0.251373626,0.545787546,0,0.193223443,0.009615385
45,3:1:4,0.126873127,0.041791542,0.668664669,0.11971362,0.042957043
46,1:2:5,0.473260073,0.392124542,0.003846154,0.004578755,0.126190476
47,1:5:2,0.490842491,0.215506716,0.015873016,0.000610501,0.277167277
